service_id,date,exception_type
48598,20250225,1
48598,20250226,1
48599,20250225,1
48599,20250226,1
48599,20250227,1
48599,20250228,1
48600,20250225,1
48600,20250226,1
48600,20250227,1
48600,20250228,1
48600,20250301,1
48600,20250302,1
48600,20250303,1
48600,20250304,1
48600,20250305,1
48600,20250306,1
48600,20250307,1
48600,20250308,1
48600,20250309,1
48600,20250310,1
48600,20250311,1
48600,20250312,1
48600,20250313,1
48600,20250314,1
48600,20250315,1
48600,20250316,1
48600,20250317,1
48600,20250318,1
48600,20250319,1
48600,20250320,1
48600,20250321,1
48600,20250322,1
48600,20250323,1
48600,20250324,1
48600,20250325,1
48600,20250326,1
48600,20250327,1
48600,20250328,1
48601,20250225,1
48601,20250226,1
48601,20250227,1
48601,20250228,1
48601,20250301,1
48601,20250303,1
48601,20250304,1
48601,20250305,1
48601,20250306,1
48601,20250307,1
48601,20250308,1
48601,20250310,1
48601,20250311,1
48601,20250312,1
48601,20250313,1
48601,20250314,1
48601,20250317,1
48601,20250318,1
48601,20250319,1
48601,20250320,1
48601,20250321,1
48601,20250322,1
48601,20250324,1
48601,20250325,1
48601,20250326,1
48601,20250327,1
48601,20250328,1
48602,20250225,1
48602,20250226,1
48602,20250227,1
48602,20250228,1
48602,20250303,1
48602,20250304,1
48602,20250305,1
48602,20250306,1
48602,20250307,1
48602,20250310,1
48602,20250311,1
48602,20250312,1
48602,20250313,1
48602,20250314,1
48602,20250317,1
48602,20250318,1
48602,20250319,1
48602,20250320,1
48602,20250321,1
48602,20250324,1
48602,20250325,1
48602,20250326,1
48602,20250327,1
48602,20250328,1
48603,20250227,1
48603,20250228,1
48603,20250303,1
48603,20250304,1
48603,20250305,1
48603,20250306,1
48603,20250307,1
48603,20250310,1
48603,20250311,1
48603,20250312,1
48603,20250313,1
48603,20250314,1
48603,20250317,1
48603,20250318,1
48603,20250319,1
48603,20250320,1
48603,20250321,1
48603,20250324,1
48603,20250325,1
48603,20250326,1
48603,20250327,1
48603,20250328,1
48604,20250301,1
48604,20250302,1
48604,20250303,1
48604,20250304,1
48604,20250305,1
48604,20250306,1
48604,20250307,1
48604,20250308,1
48604,20250309,1
48604,20250310,1
48604,20250311,1
48604,20250312,1
48604,20250313,1
48604,20250314,1
48604,20250315,1
48604,20250316,1
48604,20250317,1
48604,20250318,1
48604,20250319,1
48604,20250320,1
48604,20250321,1
48604,20250322,1
48604,20250323,1
48604,20250324,1
48604,20250325,1
48604,20250326,1
48604,20250327,1
48604,20250328,1
