pathway_id,pathway_mode,is_bidirectional,from_stop_id,to_stop_id,traversal_time
LM3FTC-LM3FT1,2,1,LM3FTC,LM3FT1,30
LM3KKC1-LM3KK1-WC,5,1,LM3KKC1,LM3KK1,90
L008162-LM3GUE,2,1,L008162,LM3GUE,150
LM3AHA-LM3AH1,2,1,LM3AHA,LM3AH1,60
LM3AHA-LM3AH2,2,1,LM3AHA,LM3AH2,120
LM1MUM-F02888,2,1,LM1MUM,F02888,15
L008136-F00957-WC,5,1,L008136,F00957,60
LM2PF2-F01324-WC,5,1,LM2PF2,F01324,60
L008084-F01232-WC,5,1,L008084,F01232,60
LM3CNB-LM3CN1,2,1,LM3CNB,LM3CN1,60
L008162-LM3GUD,2,1,L008162,LM3GUD,120
L008162-LM3GUC,2,1,L008162,LM3GUC,120
L008162-LM3GUB,2,1,L008162,LM3GUB,120
L008162-LM3GUA,2,1,L008162,LM3GUA,150
LM2KP1-LMXKPK-WC,5,1,LM2KP1,LMXKPK,90
LM3CNH-LM3CN1,5,1,LM3CNH,LM3CN1,90
LM3LEH-LM3LE1,2,1,LM3LEH,LM3LE1,30
LM1BZM-F00997,2,1,LM1BZM,F00997,30
LM3KV1-F01289,2,1,LM3KV1,F01289,120
LM3FT1-F00952-WC,5,1,LM3FT1,F00952,90
056233-F01335,2,1,056233,F01335,150
056233-F01336,2,1,056233,F01336,150
LM1BUV-F01100,2,1,LM1BUV,F01100,30
LM3NTA-LM3NT1,2,1,LM3NTA,LM3NT1,30
L056214-056231,2,1,L056214,056231,30
LM3NY2-F00936,2,1,LM3NY2,F00936,60
LM3NTF-LM3NT1,2,1,LM3NTF,LM3NT1,30
LM3KV1-F01290,2,1,LM3KV1,F01290,120
L056214-056232,2,1,L056214,056232,30
LM3NY2-F00937,2,1,LM3NY2,F00937,60
LM3FT1-F00953,2,1,LM3FT1,F00953,60
LM3AHF-LM3AH2,2,1,LM3AHF,LM3AH2,30
LM3FT1-F00952,2,1,LM3FT1,F00952,60
LM3NYE-LM3NY2,2,1,LM3NYE,LM3NY2,90
LM3NYE-LM3NY1,2,1,LM3NYE,LM3NY1,30
LM2KP1-F01336,2,1,LM2KP1,F01336,120
LM3NY1-F00936-WC,5,1,LM3NY1,F00936,60
LM3NT1-F01252-WC,5,1,LM3NT1,F01252,60
LM3AHF-LM3AH1,2,1,LM3AHF,LM3AH1,180
LM3EU1-F01494,5,1,LM3EU1,F01494,90
L008165-F00898,2,1,L008165,F00898,30
L008165-F00897,2,1,L008165,F00897,30
