pathway_id,pathway_mode,is_bidirectional,from_stop_id,to_stop_id,traversal_time
LM4MK2-LM4MKA,2,1,LM4MK2,LM4MKA,90
LM2BT1-F00062,2,1,LM2BT1,F00062,120
LM3NLD-L008082,2,1,LM3NLD,L008082,45
LM2BT1-F00063,2,1,LM2BT1,F00063,120
LM3NL1-L008082,5,1,LM3NL1,L008082,90
LM3KKD1-LM3KK1,2,1,LM3KKD1,LM3KK1,75
L056213-056229,2,1,L056213,056229,60
LM1BUM-F01101,2,1,LM1BUM,F01101,30
LM3HU3-F01541,5,1,LM3HU3,F01541,30
LM3LEI-LM3LE1,2,1,LM3LEI,LM3LE1,30
LM3FU1-F02682,5,1,LM3FU1,F02682,60
LM3NTE-LM3NT1,2,1,LM3NTE,LM3NT1,30
LM3CN1-F01188-WC,5,1,LM3CN1,F01188,90
LM3DF1-LMXDFA,2,1,LM3DF1,LMXDFA,60
L008082-F01283-WC,5,1,L008082,F01283,120
LM3LEA-LM3LE2,1,1,LM3LEA,LM3LE2,30
LM1KKV-F01095,2,1,LM1KKV,F01095,30
LM2DP1-F00094,2,1,LM2DP1,F00094,60
LM2DP1-F00093,2,1,LM2DP1,F00093,60
L056213-056230,2,1,L056213,056230,60
LM3UV2-F00897,5,1,LM3UV2,F00897,60
LM3DF1-LMXDFD,2,1,LM3DF1,LMXDFD,30
LM4KP2-LMXKPK-WC,1,1,LM4KP2,LMXKPK,120
LM3DF1-LMXDFE,2,1,LM3DF1,LMXDFE,30
LM3NTB-LM3NT1,2,1,LM3NTB,LM3NT1,30
LM3DF1-LMXDFB,2,1,LM3DF1,LMXDFB,60
LM3DF1-LMXDFC,2,1,LM3DF1,LMXDFC,30
LM4MK2-056222,2,1,LM4MK2,056222,30
LM4MK2-056221,2,1,LM4MK2,056221,30
LM2BL1-LM2BLD,2,1,LM2BL1,LM2BLD,30
LM2BL1-LM2BLC,2,1,LM2BL1,LM2BLC,30
LM1SFV-F02696,2,1,LM1SFV,F02696,30
LM2BL1-LM2BLB,2,1,LM2BL1,LM2BLB,30
LM2BL1-LM2BLA,2,1,LM2BL1,LM2BLA,30
LM4KF1-056216,2,1,LM4KF1,056216,60
LM3AH1-F02637,2,1,LM3AH1,F02637,30
LM4KF1-056215,2,1,LM4KF1,056215,60
LM4SG2-056224-WC,1,1,LM4SG2,056224,90
LM3PU2-F01878,5,1,LM3PU2,F01878,90
LM3EUE-F01494,2,1,LM3EUE,F01494,45
LM4BP1-056217,1,1,LM4BP1,056217,90
LM1HTV-F01102,2,1,LM1HTV,F01102,30
LM3CNA-LM3CN1,2,1,LM3CNA,LM3CN1,60
LM4BP1-056218,1,1,LM4BP1,056218,90
LM3CNI-LM3CN1,2,1,LM3CNI,LM3CN1,60
LM4KF2-LM4KFC,2,1,LM4KF2,LM4KFC,180
LM4KF2-LM4KFB,2,1,LM4KF2,LM4KFB,150
LM4KF2-LM4KFD,2,1,LM4KF2,LM4KFD,150
LM4KF2-LM4KFA,2,1,LM4KF2,LM4KFA,90
L008136-F00957,2,1,L008136,F00957,60
L008136-F00956,2,1,L008136,F00956,60
LM4KF2-056216-WC,5,1,LM4KF2,056216,120
056228-F01290,2,1,056228,F01290,90
L008162-F02684,2,1,L008162,F02684,30
L008162-F02685,2,1,L008162,F02685,30
LMXKVF-LM3KV1,2,1,LMXKVF,LM3KV1,60
LM4KP2-LMXKPL,2,1,LM4KP2,LMXKPL,180
LM3KKF-LM3KK1-WC,5,1,LM3KKF,LM3KK1,210
LM4KP2-LMXKPM,2,1,LM4KP2,LMXKPM,180
LM4KP2-LMXKPJ,2,1,LM4KP2,LMXKPJ,60
LM4KP2-LMXKPN,2,1,LM4KP2,LMXKPN,180
LM4KP2-LMXKPD,2,1,LM4KP2,LMXKPD,30
LM4KP2-LMXKPE,2,1,LM4KP2,LMXKPE,30
LM4KP2-LMXKPB,2,1,LM4KP2,LMXKPB,30
LM4KP2-LMXKPC,2,1,LM4KP2,LMXKPC,30
056228-F01289,2,1,056228,F01289,90
LM4KP2-LMXKPH,2,1,LM4KP2,LMXKPH,120
LM4KP2-LMXKPI,2,1,LM4KP2,LMXKPI,60
LM4KP2-LMXKPF,1,1,LM4KP2,LMXKPF,90
LM4KP2-LMXKPG,2,1,LM4KP2,LMXKPG,120
LM2AS1-LM2ASJ,2,1,LM2AS1,LM2ASJ,30
LM2AS1-LM2ASI,2,1,LM2AS1,LM2ASI,30
LM4KF4-056216,2,1,LM4KF4,056216,60
LM2AS1-LM2ASF,2,1,LM2AS1,LM2ASF,30
LM3AH4-F02637,5,1,LM3AH4,F02637,60
LM4KF4-056215,2,1,LM4KF4,056215,60
056228-F01289-WC,5,1,056228,F01289,270
LM2AS1-LM2ASE,2,1,LM2AS1,LM2ASE,30
LM4KP2-LMXKPA,2,1,LM4KP2,LMXKPA,30
LM2AS1-LM2ASH,2,1,LM2AS1,LM2ASH,30
LM2AS1-LM2ASG,2,1,LM2AS1,LM2ASG,30
LMXKV1-056227,5,1,LMXKV1,056227,90
LM1HTM-F01103,2,1,LM1HTM,F01103,30
LM3DG2-F02681,5,1,LM3DG2,F02681,90
L008082-F01282-WC,5,1,L008082,F01282,120
LMXKV1-056228,5,1,LMXKV1,056228,90
LM4MK3-056221-WC,1,1,LM4MK3,056221,60
F00912-L008186,2,0,F00912,L008186,30
LM3DGD-LM3DG1,2,1,LM3DGD,LM3DG1,30
LM2AS1-LM2ASB,2,1,LM2AS1,LM2ASB,30
LM2AS1-LM2ASA,2,1,LM2AS1,LM2ASA,30
LM2AS1-LM2ASD,2,1,LM2AS1,LM2ASD,30
LM1VUM-F01093,2,1,LM1VUM,F01093,30
LM4FT2-056226,5,1,LM4FT2,056226,90
LM2AS1-LM2ASC,2,1,LM2AS1,LM2ASC,30
LM3KKB1-LM3KK1-WC,5,1,LM3KKB1,LM3KK1,45
LM3KKD3-LM3KK1,2,1,LM3KKD3,LM3KK1,60
LM3NTC-LM3NT1,2,1,LM3NTC,LM3NT1,30
LM4FT2-056225,5,1,LM4FT2,056225,90
LM3CN1-F01189-WC,5,1,LM3CN1,F01189,90
F00897-L008164,2,0,F00897,L008164,30
LM3GU1-F02684,5,1,LM3GU1,F02684,90
L008163-F00898,2,0,L008163,F00898,30
LM3KKG-LM3KK1-WC,5,1,LM3KKG,LM3KK1,60
LM3KKC1-LM3KK1,2,1,LM3KKC1,LM3KK1,60
LM3NLC-L008082,2,1,LM3NLC,L008082,15
LM3LE1-F02614-WC,5,1,LM3LE1,F02614,60
LMXDF1-F00955,5,1,LMXDF1,F00955,90
