0.00,0.00,0.00,1.00,099633,099631,099629,118807,118805,118809,066459,118803,066457,118811
0.00,0.00,0.00,1.00,099633,099631,099629,118807,118805,118809,066459,118803,066457,118811
0.00,0.00,0.00,1.00,099633,099631,099629,118807,118805,118809,066459,118803,066457,118811
0.00,0.00,0.00,1.00,099633,099631,099629,118807,118805,118809,066459,118803,066457,118811
0.00,0.00,1.00,0.00,F04181,F04526,F03289,F03450,F03452,F03454,F03544,F03546,011773,011715
0.00,0.00,0.50,0.50,118807,118805,118809,118803,118811,118792,118789,118794,118787,110870
0.00,0.00,0.33,0.67,118807,118805,118809,118803,118811,118792,118789,118794,118787,110870
0.00,0.00,0.25,0.75,118807,118805,118809,118803,118811,118792,118789,118794,118787,110870
0.00,0.00,0.20,0.80,118807,118805,118809,118803,118811,118792,118789,118794,118787,110870
0.00,0.00,1.00,0.00,F04181,F04526,F03289,F03450,F03452,F03454,F03544,F03546,011773,011715
0.00,0.00,0.67,0.33,118807,118805,118809,118803,118811,118792,118789,118794,118787,110870
0.00,0.00,0.50,0.50,118807,118805,118809,118803,118811,118792,118789,118794,118787,110870
0.00,0.00,0.40,0.60,118807,118805,118809,118803,118811,118792,118789,118794,118787,110870
0.00,0.00,0.33,0.67,118807,118805,118809,118803,118811,118792,118789,118794,118787,110870
0.00,0.00,1.00,0.00,F04181,F04526,F03289,F03450,F03452,F03454,F03544,F03546,011773,011715
0.00,0.00,0.75,0.25,118807,118805,118809,118803,118811,118792,118789,118794,118787,110870
0.00,0.00,0.60,0.40,118807,118805,118809,118803,118811,118792,118789,118794,118787,110870
0.00,0.00,0.50,0.50,118807,118805,118809,118803,118811,118792,118789,118794,118787,110870
0.00,0.00,0.43,0.57,118807,118805,118809,118803,118811,118792,118789,118794,118787,110870
0.00,0.00,1.00,0.00,F04181,F04526,F03289,F03450,F03452,F03454,F03544,F03546,011773,011715
0.00,0.00,0.80,0.20,118807,118805,118809,118803,118811,118792,118789,118794,118787,110870
0.00,0.00,0.67,0.33,118807,118805,118809,118803,118811,118792,118789,118794,118787,110870
0.00,0.00,0.57,0.43,118807,118805,118809,118803,118811,118792,118789,118794,118787,110870
0.00,0.00,0.50,0.50,118807,118805,118809,118803,118811,118792,118789,118794,118787,110870
0.00,1.00,0.00,0.00,118767,F04562,19785275,19784274,F04567,118803,F03434,066688,F04560,F03444
0.00,0.50,0.00,0.50,118767,118803,19785275,F04562,19784274,066688,F03434,F04567,009006,118740
0.00,0.33,0.00,0.67,118803,118767,118783,19785275,009006,066688,F03434,F04562,118740,19784274
0.00,0.25,0.00,0.75,118803,118767,118783,009006,066688,19785275,F03434,118740,118757,009005
0.00,0.20,0.00,0.80,118803,118767,118783,009006,118757,118740,066688,009005,F03434,19785275
0.00,0.50,0.50,0.00,118767,F04562,F04567,118803,F03434,066688,F04560,F03444,118740,066685
0.00,0.33,0.33,0.33,118767,118803,F04562,066688,F03434,F04567,009006,118740,118783,F03444
0.00,0.25,0.25,0.50,118803,118767,118783,009006,066688,F03434,F04562,118740,F03444,009005
0.00,0.20,0.20,0.60,118803,118767,118783,009006,066688,F03434,118740,118757,009005,F04562
0.00,0.17,0.17,0.67,118803,118767,118783,009006,118757,118740,066688,009005,F03434,066686
0.00,0.33,0.67,0.00,118767,F04562,F04567,118803,F03434,066688,F04560,F03444,118740,066685
0.00,0.25,0.50,0.25,118767,118803,F04562,066688,F03434,F04567,009006,118740,118783,F03444
0.00,0.20,0.40,0.40,118803,118767,118783,009006,066688,F03434,F04562,118740,F03444,009005
0.00,0.17,0.33,0.50,118803,118767,118783,009006,066688,F03434,118740,118757,009005,F04562
