Start_X,Start_Y,End_X,End_Y
19.085901430882938,47.50460125493777,19.087234437277015,47.505424680158264
19.054238387366816,47.51475772458937,19.056501000334098,47.5140260408102
19.157057461441134,47.42118772166015,19.157947915913788,47.415960374041134
19.039915368786996,47.503506931668454,19.040097284030615,47.5020892862187
19.039915368786996,47.503506931668454,19.040435948051126,47.50088316805774
19.039928052948706,47.50204711059014,19.040097284030615,47.5020892862187
19.040097284030615,47.5020892862187,19.040435948051126,47.50088316805774
19.03976545660453,47.502011119135574,19.039928052948706,47.50204711059014
19.0390702758366,47.50186981788925,19.03976545660453,47.502011119135574
19.039410836940256,47.50420131680063,19.03976545660453,47.502011119135574
19.03976545660453,47.502011119135574,19.040324051775496,47.50026434823174
19.038194731063925,47.50771183894596,19.039224377943274,47.50771277074777
19.039224377943274,47.50771277074777,19.039237007702734,47.50666755304874
19.039213356935964,47.509034154648965,19.039224377943274,47.50771277074777
19.034193129343357,47.50772223092594,19.038194731063925,47.50771183894596
19.038162528216535,47.50692296838167,19.038194731063925,47.50771183894596
19.034146065336106,47.50688388612587,19.034193129343357,47.50772223092594
19.034193129343357,47.50772223092594,19.03452863236947,47.509686641747884
19.029957486884395,47.50791585533364,19.034193129343357,47.50772223092594
19.027616895533175,47.50797925995626,19.028506423771983,47.50772587804634
19.026860238950693,47.507917139702826,19.027616895533175,47.50797925995626
19.028506423771983,47.50772587804634,19.0316801470848,47.50724334127604
19.034146065336106,47.50688388612587,19.03712046880246,47.50684824083744
19.03712046880246,47.50684824083744,19.038162528216535,47.50692296838167
19.038162528216535,47.50692296838167,19.03820489211663,47.50666662203527
19.03820489211663,47.50666662203527,19.039237007702734,47.50666755304874
19.038102176419283,47.505843591689285,19.03820489211663,47.50666662203527
19.039198143717666,47.50592913639951,19.039237007702734,47.50666755304874
19.038102176419283,47.505843591689285,19.039198143717666,47.50592913639951
19.039198143717666,47.50592913639951,19.039410836940256,47.50420131680063
19.038102176419283,47.505843591689285,19.0383928876309,47.50412561857448
19.024417354104873,47.50486293389308,19.024823360937507,47.506020672230896
19.024096906633975,47.50350817042487,19.024417354104873,47.50486293389308
19.024257996476045,47.50500499003081,19.024417354104873,47.50486293389308
19.024823360937507,47.506020672230896,19.02687681236887,47.50594251377611
19.024823360937507,47.506020672230896,19.026860238950693,47.507917139702826
19.023741149302737,47.506721050946304,19.024823360937507,47.506020672230896
19.030662948929383,47.50481094900011,19.032227319915048,47.50322725973828
19.030467800692172,47.50534076585863,19.030662948929383,47.50481094900011
19.02916973629494,47.50440327265681,19.030662948929383,47.50481094900011
19.031386266547344,47.50266580804239,19.033714489987705,47.50148247616879
19.02916973629494,47.50440327265681,19.031386266547344,47.50266580804239
19.032227319915048,47.50322725973828,19.033714489987705,47.50148247616879
19.0383928876309,47.50412561857448,19.0390702758366,47.50186981788925
19.0383928876309,47.50412561857448,19.039410836940256,47.50420131680063
19.0390702758366,47.50186981788925,19.039867000928933,47.49998814664249
19.039867000928933,47.49998814664249,19.040380720631326,47.49859933514512
19.039867000928933,47.49998814664249,19.040324051775496,47.50026434823174
19.04007550047945,47.49826200821518,19.040380720631326,47.49859933514512
19.04007550047945,47.49826200821518,19.040593165092186,47.49807048484356
19.039727933346185,47.49819817568232,19.04007550047945,47.49826200821518
19.040380720631326,47.49859933514512,19.040837828808673,47.49841047602854
19.040837828808673,47.49841047602854,19.046784800223314,47.49955671346487
19.040593165092186,47.49807048484356,19.040837828808673,47.49841047602854
19.040593165092186,47.49807048484356,19.042040125424048,47.496104373176536
19.035782526110555,47.50206190297959,19.03750266451546,47.50028294419402
19.035782526110555,47.50206190297959,19.036517422648586,47.499001090143594
19.033545067506225,47.49921661515758,19.034368207973937,47.4984008646578
19.03750266451546,47.50028294419402,19.039727933346185,47.49819817568232
19.033929747544637,47.497068739676074,19.039727933346185,47.49819817568232
19.033929747544637,47.497068739676074,19.031155976258898,47.49910749776164
19.033929747544637,47.497068739676074,19.03581144444927,47.49567842649715
19.027172103862323,47.50200848443911,19.031155976258898,47.49910749776164
19.038339984267978,47.49455601742859,19.039229204273738,47.49448863190441
19.038393749724403,47.49534222205934,19.039229204273738,47.49448863190441
19.03739268932246,47.49467019134735,19.038339984267978,47.49455601742859
19.03685676969741,47.49498762594317,19.03739268932246,47.49467019134735
19.037098271485785,47.49443728150652,19.03739268932246,47.49467019134735
